ports	NO FEAT	SR	ED	SR&ED
0	2.241	2.240	1.084	1.084
1	2.646	2.551	1.536	1.441
2	3.052	2.862	1.988	1.798
3	3.458	3.173	2.440	2.155
4	3.864	3.484	2.892	2.512
5	4.270	3.795	3.344	2.869
6	4.676	4.106	3.796	3.226
7	5.082	4.417	4.248	3.583
8	5.488	4.728	4.700	3.940
9	5.894	5.039	5.152	4.297
10	6.300	5.350	5.604	4.654
11	6.706	5.661	6.056	5.011
12	7.112	6.100	6.508	5.368
13	7.518	6.441	6.960	5.725
14	7.924	6.752	7.412	6.082
15	8.330	7.063	7.864	6.439
16	8.736	7.374	8.316	6.796
17	9.142	7.685	8.768	7.153
18	9.548	7.996	9.220	7.510
19	9.954	8.307	9.672	7.867
20	10.360	8.746	10.124	8.224
21	10.766	9.087	10.576	8.581
22	11.172	9.398	11.028	8.938
23	11.578	9.709	11.480	9.295
24	11.984	10.020	11.932	9.652
25	12.423	10.331	12.397	10.019
26	12.862	10.642	12.862	10.386
27	13.301	10.953	13.301	10.825
28	13.740	11.264	13.740	11.264

